# device=iPad13,1
# gpu=Apple A14 GPU
# memory_mb=3868
# os=iPadOS 27.0
# unity=6000.6.0f1
# entities=104
triangles,bones,materials,entities,cpu_p95_ms,gpu_p95_ms,wall_p95_ms,peak_mb,timing_samples,holds_60,holds_30,under_600mb
400,12,1,104,16.78,3.47,16.75,176.8,300,0,1,1
400,12,2,104,16.80,3.44,16.77,177.1,300,0,1,1
400,24,1,104,16.78,3.47,16.76,177.7,300,0,1,1
400,24,2,104,16.79,3.42,16.76,178.2,300,0,1,1
400,48,1,104,16.79,3.42,16.77,180.0,300,0,1,1
400,48,2,104,16.81,3.43,16.78,180.4,300,0,1,1
800,12,1,104,16.78,4.78,16.77,185.9,300,0,1,1
800,12,2,104,16.76,4.58,16.75,186.4,300,0,1,1
800,24,1,104,16.91,4.75,16.90,186.9,300,0,1,1
800,24,2,104,16.80,4.57,16.76,187.4,300,0,1,1
800,48,1,104,16.76,4.77,16.74,188.8,300,0,1,1
800,48,2,104,16.78,4.58,16.75,189.3,300,0,1,1
1500,12,1,104,16.76,6.02,16.74,201.3,300,0,1,1
1500,12,2,104,16.78,7.09,16.75,201.8,300,0,1,1
1500,24,1,104,16.82,5.92,16.80,202.3,300,0,1,1
1500,24,2,104,16.83,6.85,16.79,202.8,300,0,1,1
1500,48,1,104,16.80,5.90,16.80,204.2,300,0,1,1
1500,48,2,104,16.83,6.94,16.79,204.7,300,0,1,1
3000,12,1,104,16.92,9.39,16.90,234.4,300,0,1,1
3000,12,2,104,16.96,9.67,16.95,234.9,300,0,1,1
3000,24,1,104,16.93,9.33,16.91,235.4,300,0,1,1
3000,24,2,104,16.94,9.69,16.91,235.9,300,0,1,1
3000,48,1,104,16.77,9.15,16.75,237.3,300,0,1,1
3000,48,2,104,16.81,9.49,16.76,237.8,300,0,1,1
6000,12,1,104,16.88,12.07,16.88,300.5,300,0,1,1
6000,12,2,104,16.81,10.60,16.78,301.0,300,0,1,1
6000,24,1,104,16.91,12.15,16.90,301.5,300,0,1,1
6000,24,2,104,16.78,10.79,16.76,302.0,300,0,1,1
6000,48,1,104,16.77,11.74,16.75,303.4,300,0,1,1
6000,48,2,104,16.86,11.71,16.84,303.8,300,0,1,1
