# device=iPad13,1
# gpu=Apple A14 GPU
# memory_mb=3868
# os=iPadOS 27.0
# unity=6000.6.0f1
# entities=104
triangles,bones,materials,entities,cost_p95_ms,cpu_work_p95_ms,main_thread_p95_ms,present_wait_p95_ms,render_thread_p95_ms,gpu_p95_ms,wall_p95_ms,peak_mb,timing_samples,holds_60,holds_30,under_600mb
400,12,1,104,12.19,0.00,5.76,12.35,12.19,3.39,16.89,176.8,300,0,0,1
400,12,2,104,3.43,0.00,6.03,12.52,1.34,3.43,16.75,189.5,300,0,0,1
400,24,1,104,12.09,0.00,6.09,11.91,12.09,3.47,16.89,190.1,300,0,0,1
400,24,2,104,3.50,0.00,6.13,12.75,1.39,3.50,16.77,190.6,300,0,0,1
400,48,1,104,3.53,0.00,6.16,12.03,1.21,3.53,16.74,192.3,300,0,0,1
400,48,2,104,3.52,0.00,6.22,12.63,1.39,3.52,16.75,192.8,300,0,0,1
800,12,1,104,4.92,0.00,6.28,12.20,1.18,4.92,16.75,198.3,300,0,0,1
800,12,2,104,4.72,0.00,6.38,12.76,1.46,4.72,16.76,198.8,300,0,0,1
800,24,1,104,4.97,0.00,6.39,12.69,1.23,4.97,16.76,199.3,300,0,0,1
800,24,2,104,4.78,0.00,6.59,12.65,1.44,4.78,16.75,199.7,300,0,0,1
800,48,1,104,5.02,0.00,6.62,12.62,1.32,5.02,16.76,201.2,300,0,0,1
800,48,2,104,4.81,0.00,6.38,12.45,1.46,4.81,16.78,201.7,300,0,0,1
1500,12,1,104,6.25,0.00,6.50,12.71,1.30,6.25,16.74,213.8,300,0,0,1
1500,12,2,104,7.23,0.00,6.45,12.59,1.45,7.23,16.75,214.3,300,0,0,1
1500,24,1,104,6.26,0.00,6.50,12.62,1.28,6.26,16.75,214.7,300,0,0,1
1500,24,2,104,7.22,0.00,6.67,12.56,1.52,7.22,16.75,215.2,300,0,0,1
1500,48,1,104,6.25,0.00,6.58,12.66,1.29,6.25,16.77,216.7,300,0,0,1
1500,48,2,104,7.23,0.00,6.58,12.33,1.45,7.23,16.75,217.1,300,0,0,1
3000,12,1,104,12.96,0.00,5.91,12.18,12.96,9.71,16.96,246.8,300,0,0,1
3000,12,2,104,9.68,0.00,6.65,12.73,1.47,9.68,16.75,247.3,300,0,0,1
3000,24,1,104,9.31,0.00,6.45,12.67,1.29,9.31,16.75,247.8,300,0,0,1
3000,24,2,104,9.64,0.00,6.52,12.63,1.50,9.64,16.76,248.3,300,0,0,1
3000,48,1,104,9.31,0.00,6.58,12.63,1.47,9.31,16.75,249.7,300,0,0,1
3000,48,2,104,9.69,0.00,6.54,12.55,1.52,9.69,16.74,250.2,300,0,0,1
6000,12,1,104,13.03,0.00,5.80,12.18,13.03,12.27,16.93,312.9,300,0,0,1
6000,12,2,104,11.18,0.00,6.54,12.70,1.50,11.18,16.76,313.4,300,0,0,1
6000,24,1,104,12.96,0.00,5.78,12.11,12.96,12.14,16.88,313.9,300,0,0,1
6000,24,2,104,11.74,0.00,6.38,12.57,1.63,11.74,16.75,314.4,300,0,0,1
6000,48,1,104,12.97,0.00,5.90,12.11,12.97,12.30,16.99,315.8,300,0,0,1
6000,48,2,104,12.98,0.00,6.03,12.05,12.98,11.19,17.19,316.2,300,0,0,1
10000,12,1,104,12.79,0.00,6.02,12.01,12.79,12.31,16.95,401.0,300,0,0,1
10000,12,2,104,12.91,0.00,5.89,12.04,12.91,12.49,16.90,401.5,300,0,0,1
10000,24,1,104,11.69,0.00,6.36,12.67,1.36,11.69,16.75,401.9,300,0,0,1
10000,24,2,104,11.97,0.00,6.41,12.75,1.60,11.97,16.78,402.4,300,0,0,1
10000,48,1,104,12.92,0.00,6.02,12.07,12.92,12.37,16.89,403.8,300,0,0,1
10000,48,2,104,12.93,0.00,6.02,12.03,12.93,12.50,17.12,404.3,300,0,0,1
16000,12,1,104,19.90,0.00,7.04,27.62,16.60,19.90,33.50,533.1,300,0,0,1
16000,12,2,104,20.15,0.00,7.21,27.46,16.63,20.15,33.53,533.6,300,0,0,1
16000,24,1,104,19.99,0.00,7.19,27.43,16.62,19.99,33.50,534.0,300,0,0,1
16000,24,2,104,20.23,0.00,6.57,27.42,16.77,20.23,33.47,534.5,300,0,0,1
16000,48,1,104,20.06,0.00,7.06,27.47,16.68,20.06,33.50,535.9,300,0,0,1
16000,48,2,104,20.13,0.00,7.05,27.39,16.70,20.13,33.52,536.4,300,0,0,1
