# device=iPad13,1
# gpu=Apple A14 GPU
# memory_mb=3868
# os=iPadOS 27.0
# unity=6000.6.0f1
# entities=104
triangles,bones,materials,entities,cost_p95_ms,main_thread_p95_ms,present_wait_p95_ms,render_thread_p95_ms,gpu_p95_ms,wall_p95_ms,peak_mb,timing_samples,holds_60,holds_30,under_600mb
400,12,1,104,6.32,6.32,12.30,0.82,3.38,16.74,176.8,300,1,1,1
400,12,2,104,6.09,6.09,12.81,1.07,3.43,16.74,177.2,300,1,1,1
400,24,1,104,6.12,6.12,11.91,0.75,3.38,16.73,177.8,300,1,1,1
400,24,2,104,5.58,5.58,12.27,0.96,3.34,16.73,178.3,300,1,1,1
400,48,1,104,6.15,6.15,11.42,0.58,3.28,16.72,180.0,300,1,1,1
400,48,2,104,5.92,5.92,11.49,0.71,3.24,16.73,180.5,300,1,1,1
400,80,1,104,6.42,6.42,11.29,0.43,3.16,16.72,182.2,300,1,1,1
400,80,2,104,6.57,6.57,11.04,11.04,3.13,16.86,182.8,300,1,1,1
1500,12,1,104,6.02,6.00,12.07,0.83,6.02,16.74,202.0,300,1,1,1
1500,12,2,104,6.83,5.88,12.40,12.28,6.83,16.83,202.4,300,1,1,1
1500,24,1,104,6.29,6.29,11.86,0.78,5.95,16.75,202.9,300,1,1,1
1500,24,2,104,6.86,6.23,12.60,12.40,6.86,17.02,203.4,300,1,1,1
1500,48,1,104,6.20,6.20,11.57,0.61,5.80,16.74,204.8,300,1,1,1
1500,48,2,104,6.93,5.88,11.61,0.75,6.93,16.75,205.3,300,1,1,1
1500,80,1,104,6.42,6.42,11.32,0.47,5.75,16.73,206.6,300,1,1,1
1500,80,2,104,6.85,6.24,11.55,0.52,6.85,16.77,207.1,300,1,1,1
6000,12,1,104,12.09,5.69,12.13,11.96,12.09,16.86,301.1,300,1,1,1
6000,12,2,104,11.51,5.94,12.86,1.03,11.51,16.76,301.6,300,1,1,1
6000,24,1,104,12.15,5.87,12.17,12.06,12.15,17.29,302.1,300,1,1,1
6000,24,2,104,11.90,5.58,12.31,0.95,11.90,16.74,302.6,300,1,1,1
6000,48,1,104,10.93,6.39,12.36,12.33,10.93,17.11,304.0,300,1,1,1
6000,48,2,104,10.49,5.41,12.27,11.63,10.49,17.26,304.5,300,1,1,1
6000,80,1,104,11.93,6.29,11.10,11.11,11.93,16.90,305.7,300,1,1,1
6000,80,2,104,10.71,6.06,11.07,11.10,10.71,16.91,306.2,300,1,1,1
10000,12,1,104,12.18,5.78,12.22,12.06,12.18,16.89,389.2,300,1,1,1
10000,12,2,104,12.58,5.59,12.42,12.22,12.58,16.94,389.7,300,1,1,1
10000,24,1,104,12.22,5.87,12.13,12.00,12.22,17.24,390.1,300,1,1,1
10000,24,2,104,12.56,5.50,11.87,11.77,12.56,17.23,390.6,300,1,1,1
10000,48,1,104,11.35,6.08,11.64,0.60,11.35,16.72,392.0,300,1,1,1
10000,48,2,104,11.64,5.69,11.58,0.73,11.64,16.73,392.5,300,1,1,1
10000,80,1,104,11.55,6.31,11.26,0.45,11.55,16.73,393.8,300,1,1,1
10000,80,2,104,11.64,6.37,11.33,0.53,11.64,16.74,394.3,300,1,1,1
16000,12,1,104,19.22,6.54,27.85,16.50,19.22,33.47,521.3,300,0,1,1
16000,12,2,104,19.50,6.80,28.40,16.61,19.50,33.61,521.8,300,0,1,1
16000,24,1,104,19.63,7.59,28.14,16.57,19.63,33.59,522.3,300,0,1,1
16000,24,2,104,19.70,7.67,28.41,16.62,19.70,33.59,522.8,300,0,1,1
16000,48,1,104,19.68,7.38,27.43,16.68,19.68,33.36,524.2,300,0,1,1
16000,48,2,104,20.02,7.55,27.48,16.68,20.02,33.44,524.6,300,0,1,1
16000,80,1,104,19.91,7.33,27.13,16.69,19.91,33.41,525.9,300,0,1,1
16000,80,2,104,20.10,7.49,27.03,16.69,20.10,33.40,526.4,300,0,1,1
