# device=iPhone16,1
# gpu=Apple A17 Pro GPU
# memory_mb=7679
# os=iOS 26.6.1
# unity=6000.6.0f1
# entities=104
triangles,bones,materials,entities,median_ms,p95_ms,peak_mb,holds_60,holds_30,under_600mb
400,12,1,104,16.66,16.88,176.5,0,1,1
400,12,2,104,16.67,16.72,177.0,0,1,1
400,24,1,104,16.67,16.72,177.7,0,1,1
400,24,2,104,16.67,16.72,178.2,0,1,1
400,48,1,104,16.67,16.72,179.9,0,1,1
400,48,2,104,16.67,16.84,180.4,0,1,1
800,12,1,104,16.67,16.86,185.9,0,1,1
800,12,2,104,16.67,16.72,186.4,0,1,1
800,24,1,104,16.67,16.73,186.8,0,1,1
800,24,2,104,16.67,16.72,187.3,0,1,1
800,48,1,104,16.67,16.71,188.7,0,1,1
800,48,2,104,16.67,16.72,189.2,0,1,1
1500,12,1,104,16.67,16.72,201.3,0,1,1
1500,12,2,104,16.67,16.72,201.8,0,1,1
1500,24,1,104,16.67,16.72,202.2,0,1,1
1500,24,2,104,16.67,16.72,202.7,0,1,1
1500,48,1,104,16.67,16.72,204.1,0,1,1
1500,48,2,104,16.67,16.72,204.6,0,1,1
3000,12,1,104,16.67,16.73,234.4,0,1,1
3000,12,2,104,16.67,16.73,234.9,0,1,1
3000,24,1,104,16.67,16.72,235.3,0,1,1
3000,24,2,104,16.66,16.91,235.8,0,1,1
3000,48,1,104,16.67,16.72,237.2,0,1,1
3000,48,2,104,16.67,16.71,237.7,0,1,1
6000,12,1,104,16.67,16.72,300.5,0,1,1
6000,12,2,104,16.67,16.73,300.9,0,1,1
6000,24,1,104,16.67,16.74,301.4,0,1,1
6000,24,2,104,16.66,16.85,301.9,0,1,1
6000,48,1,104,16.67,16.73,303.3,0,1,1
6000,48,2,104,16.67,16.73,303.8,0,1,1
